,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,2,8,0,3,9,5,5,7,9,5,0,1,2,3,9,18545877.781152677,0.0,0.0,122869969.47136664,0.0,0.0,0.0,0.0,485206256.9138409,0.0
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,2,2,8,3,10,2,8,4,6,0,1,7,5,0,0,5,35552093.1563724,2168680.462962675,0.000169592269567006,36676675.840294495,29394987.081802644,0.0039187741597551395,1566.791576579019,0.0,521440002.25878435,0.0
2,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,4,0,9,0,0,0,7,6,3,8,5,3,9,10,2,5,44808212.5892183,0.0,0.0,151658461.0382433,0.0,0.0,438.0140443580452,7059995.853079459,270031951.8333515,0.0007658106610277566
3,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,2,2,0,1,2,1,6,2,3,1,3,3,6,3,3,2,33201096.218706846,0.0,0.0,97660059.46776915,0.0,0.0,0.0,0.0,301054792.1994387,0.0
4,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,3,5,0,5,6,2,0,4,8,2,0,4,6,8,3,1,24092218.720461875,2042292.5931948456,0.00012261444807824554,124408184.63946766,0.0,0.0,138.20382563529014,0.0,338474312.7187714,0.0
5,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,6,3,4,5,0,5,3,1,8,4,0,2,2,2,8,18081997.288140487,0.0,0.0,112508623.200291,19139136.993395813,0.006207738912826399,563.1719728828361,0.0,396185318.5242115,0.0
6,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,3,1,0,4,0,5,6,0,7,10,9,8,6,4,0,5,62224035.92977156,0.0,0.0,75329742.05586098,0.0,0.0,399.20469040415304,7507194.643206875,309875843.54773283,0.0008144382812200483
7,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,4,1,0,6,8,7,0,8,3,5,9,1,0,10,8,10,26696770.02353885,0.0,0.0,232508549.882731,0.0,0.0,0.0,0.0,383311188.9479403,0.0
8,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,3,0,2,3,0,0,5,2,5,7,0,0,2,10,1,0,7332080.219521779,0.0,0.0,93212178.51924896,0.0,0.0,802.8871304646981,15134411.480973419,238160252.52028722,0.0016550003390185153
9,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,3,4,10,1,1,4,10,8,3,7,0,6,0,2,10,8,12586457.998778107,338061.79790271743,1.8754254516690415e-05,162329753.43877304,0.0,0.0,431.63500447275646,7727235.333232939,538597825.4189367,0.0008623318716138154
10,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,10,4,0,7,7,1,3,5,8,0,2,2,3,3,25702162.374998905,0.0,0.0,95943402.46408135,0.0,0.0,195.36298106722245,7607213.138673265,406399429.4413328,0.0025086242851061905
11,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,3,5,1,5,6,0,3,8,10,7,2,0,2,2,0,23537919.412238494,0.0,0.0,57073405.013273194,0.0,0.0,0.0,0.0,411726521.9992334,0.0
12,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,3,8,2,3,4,0,4,1,1,1,5,3,5,5,0,28109350.119659707,999296.499392179,7.709597832709377e-05,80062858.44864091,0.0,0.0,53.25205705976984,0.0,361092336.22562075,0.0
