,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4,1,4,2,0,4,1,6,3,6,1,1,4,5,30927417.453187738,0.0,0.0,102941037.8833114,2087207.434207252,0.001861394309407905,0.0,0.0,274347961.69298935,0.0
1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,2,1,2,2,2,9,5,3,3,10,1,0,1,1,0,0,12857587.774250694,496651.0528865304,3.859192215454716e-05,25037214.086173728,5883162.57246446,0.0007869183143420593,323.6619365094565,176119.22351542802,442524060.44837385,2.4872226363079687e-05
2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,2,0,0,5,1,4,4,1,9,2,0,0,2,5,5,7332080.219521779,0.0,0.0,113206206.35935302,0.0,0.0,0.0,0.0,304844187.9596333,0.0
3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,6,10,4,3,10,7,10,4,7,1,0,0,1,5,1,6320800.309666242,808974.5341846448,0.00014981962706066602,93596653.66320348,0.0,0.0,25.963223770232467,0.0,666313807.452202,0.0
4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,2,0,2,5,1,7,4,1,5,6,0,0,2,3,5,12586457.998778107,0.0,0.0,103425653.72786602,8983527.402432395,0.008071571126793943,0.0,0.0,355132137.22601855,0.0
5,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,3,6,1,3,0,7,0,2,1,5,1,6,2,0,0,0,28613615.978493378,266171.84002839227,1.628638994728139e-05,0.0,15086164.204697879,0.0016063301530651508,1333.9587281738732,7338641.512082982,303266666.04718435,0.0008058195234827016
6,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,3,8,1,3,2,6,9,9,4,6,4,0,1,0,1,0,16925244.491970196,0.0,0.0,25037214.086173728,4174414.868414504,0.00044673463425789713,458.9512130590031,3887325.3233444323,532433746.0082698,0.00044439543570023846
7,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,2,0,7,0,4,1,0,5,6,6,7,1,2,4,7,2,31851732.358506463,0.0,0.0,123837869.82670248,0.0,0.0,0.0,0.0,276624401.14442384,0.0
8,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,2,0,0,5,2,0,4,1,10,3,4,7,2,6,2,37220127.657498375,0.0,0.0,106734474.56096488,0.0,0.0,0.0,0.0,249243069.1515346,0.0
9,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2,7,0,0,2,0,7,6,5,9,0,1,0,1,7,1,6320800.309666242,0.0,0.0,103499384.37376389,0.0,0.0,84.56162875881566,2005702.7748523543,314766159.97391105,0.00028575553304453094
