,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,9,3,0,2,7,5,4,8,6,9,0,4,5,1,1,31262671.930688452,0.0,0.0,96923603.35265538,0.0,0.0,50.16425291130494,1971325.908870655,460150538.14445114,0.0006697454834822161
1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,3,4,6,3,5,4,5,3,8,3,1,1,4,1,1,22674612.19534176,0.0,0.0,91633377.77721499,0.0,0.0,0.0,0.0,461605417.7989492,0.0
2,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,2,1,0,8,3,0,10,6,5,0,6,4,1,0,5,0,33292100.843263462,0.0,0.0,36676675.840294495,947925.4911798615,0.00012485174908420665,47.30759839016302,0.0,336154061.29081845,0.0
3,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,4,0,9,10,3,1,4,4,9,1,3,0,3,40232302.91516212,0.0,0.0,63921995.57957761,0.0,0.0,204.96029541445077,7981054.8886378305,383689592.4082886,0.002632051381557209
4,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,4,10,4,6,4,6,8,9,3,9,3,0,7,4,1,0,24227584.784522224,0.0,0.0,62015940.60605301,0.0,0.0,0.0,0.0,636015206.396112,0.0
5,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,8,6,7,7,0,1,10,7,3,2,6,3,3,5,31452076.64453512,0.0,0.0,108790721.17065486,0.0,0.0,130.29896871865793,6244004.420400589,437361676.2728294,0.003938710872424143
6,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,7,9,1,6,0,7,5,3,7,6,0,6,2,4,30185557.33409556,0.0,0.0,117682136.49428794,0.0,0.0,0.0,4801757.648561836,438920073.409512,0.004470507626113241
7,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,2,3,1,6,10,10,5,10,1,6,5,1,0,8,3,9,18545877.781152677,0.0,0.0,165039667.56460762,0.0,0.0,0.0,0.0,621093990.2511077,0.0
8,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,3,9,0,4,9,7,7,3,7,8,10,0,4,6,3,0,33951203.666638665,0.0,0.0,77404471.7832109,0.0,0.0,44.518861629845155,1056387.4837096424,578934465.7463903,0.00022656878377291142
9,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,2,6,0,3,0,10,7,3,5,4,3,8,8,5,3,39745013.73511774,0.0,0.0,143427691.73251453,0.0,0.0,0.0,0.0,365250949.3507624,0.0
