,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,4,5,5,3,6,5,5,8,0,6,0,0,7,0,8,5,14261651.781499248,1043196.5523784696,5.885569852839888e-05,96451223.62788737,6128157.307513248,0.000648021111011987,528.1937687995837,0.0,480066359.8875807,0.0
1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,4,7,9,9,0,8,9,3,1,5,1,0,5,1,3,9,17767801.395336673,178998.74145432832,1.0855881834480256e-05,117180343.99929902,0.0,0.0,264.8348796564046,4044530.998691601,600589293.120261,0.0004393983316325243
2,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,9,3,6,1,0,8,5,10,0,3,6,1,6,32213521.725695886,0.0,0.0,121855873.5953589,0.0,0.0,571.6546231182155,16359983.889511267,368479297.9084364,0.004264391494285336
3,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,4,3,4,3,3,10,0,9,10,4,9,1,3,6,3,6,38525953.30603957,0.0,0.0,131898872.90811554,0.0,0.0,0.0,0.0,457072837.7317636,0.0
4,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,3,2,5,9,0,0,2,7,2,1,2,3,6,3,4,23253361.287507407,598549.4398200412,0.00011213710746693291,122567126.94737372,0.0,0.0,19.02847089239836,0.0,326099310.2840696,0.0
5,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,9,6,6,4,10,6,1,8,8,5,2,1,4,0,1,27738992.754302613,0.0,0.0,62015940.60605301,0.0,0.0,0.0,0.0,650151895.8021783,0.0
6,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,6,9,2,0,1,0,4,10,1,1,1,1,2,1,1,19617742.85964441,0.0,0.0,82048310.80279644,0.0,0.0,260.15085468955226,10135242.722181164,374411431.7380881,0.0033480441638357697
7,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,5,9,1,1,10,4,10,0,0,3,4,5,9,1,5,33180617.80632511,0.0,0.0,138315019.97383898,0.0,0.0,0.0,6023284.841370289,469771988.91368043,0.005622013342940774
8,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,2,4,4,0,0,3,4,2,8,6,2,9,2,4,1,8,37348005.02737427,0.0,0.0,119345427.63117564,0.0,0.0,251.13681187229184,5883492.487689353,315421152.71057445,0.0008052683670336443
9,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,10,7,0,0,4,3,6,10,8,1,7,0,6,3,5,21069784.935395602,0.0,0.0,127031768.3983773,0.0,0.0,151.27299726895697,5883492.487689353,447857986.8838114,0.001932644080880746
10,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,3,4,2,0,9,8,7,7,1,3,6,4,8,4,29460091.538647782,0.0,0.0,138764733.75342804,0.0,0.0,0.0,0.0,372987956.44770837,0.0
11,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,9,0,3,2,4,1,4,0,1,6,9,8,1,8,10,61448736.85374972,0.0,0.0,153875894.2445637,1337212.0912762973,0.0004273333937414027,39.84071713527161,0.0,338785229.09447074,0.0
12,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,10,0,3,9,3,6,7,0,5,0,3,6,8,5,1,22374727.640758883,1495756.6564490127,0.0007158642621723907,135202484.01939404,0.0,0.0,0.0,0.0,478515264.5346609,0.0
13,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,2,0,0,6,8,10,0,2,10,5,1,3,1,2,6,1,22293117.310156107,178998.74145432832,1.3569852293100324e-05,103409826.06038089,0.0,0.0,9.67343192767552,0.0,384769155.8299221,0.0
14,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3,2,7,6,3,1,8,7,9,1,1,3,0,8,7,21898586.41832094,598549.4398200412,0.00011213710746693291,106286204.74180937,23824768.856807366,0.007576760266403911,731.7106276907089,0.0,489707050.2591228,0.0
15,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,4,0,1,9,3,6,10,3,7,9,0,6,2,9,8,3,21556221.14781617,521598.2761892348,2.942784926419944e-05,172424397.47275797,0.0,0.0,43.09938243895845,0.0,495307917.45976704,0.0
16,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,3,2,3,7,5,8,3,2,2,5,5,3,2,2,1,3,30661862.76814211,0.0,0.0,87926234.28472883,0.0,0.0,0.0,0.0,471512545.84139967,0.0
17,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,4,4,9,6,2,10,5,0,7,0,1,0,3,10,3,6,15063068.18035096,178998.74145432832,1.0855881834480256e-05,162982137.97476688,0.0,0.0,976.907044311868,18653053.11731268,511749466.6578726,0.0037018534928732467
18,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,3,5,1,5,3,7,4,5,10,10,2,7,4,4,2,0,35703641.98932909,0.0,0.0,64922482.303728715,0.0,0.0,0.0,0.0,516568998.67832226,0.0
19,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,3,5,5,2,2,9,4,1,6,5,9,8,2,3,7,58316553.412493676,0.0,0.0,112317596.24522522,1591152.234679543,0.0014300619186630597,0.0,0.0,450921365.7472989,0.0
20,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,4,4,8,4,8,2,6,10,8,8,10,0,1,0,8,0,29229280.98454815,0.0,0.0,48463701.69719181,6128157.307513248,0.000648021111011987,441.99500392166686,0.0,601106533.5634772,0.0
21,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,5,5,1,1,1,4,8,5,5,8,10,7,6,0,4,68891109.87556869,0.0,0.0,81105853.85915002,0.0,0.0,90.70961934234771,2136947.151618249,417971706.96346915,0.0002978874117114355
22,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,4,3,0,8,6,7,4,4,0,4,9,9,9,1,3,4,75914620.30614576,0.0,0.0,94604301.47100274,29019294.45183953,0.00312213588516851,2063.221219006067,0.0,421609150.02302307,0.0
23,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,9,1,3,2,4,6,3,9,9,3,3,0,8,6,0,17803345.000196747,0.0,0.0,101157510.29530728,0.0,0.0,0.0,0.0,499256466.1943059,0.0
