,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs
0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,10,0,1,10,1,3,3,0,2,5,2,1,3,0,5,27738992.754302613,0.0,0.0,70917961.72350763,0.0,0.0,0.0
1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,4,10,0,7,0,4,5,10,1,3,2,0,7,7,3,0,22585050.269750636,0.0,0.0,82593104.13074732,0.0,0.0,403.39482172837506
2,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,3,9,4,3,2,10,10,4,5,3,1,0,8,0,6,15444563.06553661,0.0,0.0,101157510.29530728,0.0,0.0,0.0
3,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,3,6,2,2,3,4,2,0,7,3,0,0,5,10,2,0,11068771.68625446,150110.43491205605,8.517811893552378e-06,96767921.20487039,0.0,0.0,60.67068727859881
4,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,2,7,3,4,5,2,0,3,7,3,0,3,5,3,0,2,20696082.48629594,1698905.8754412823,0.00012455230758213744,60854576.45659251,7163173.004381037,0.0009736056333581834,442.41280993596064
5,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,2,9,1,3,8,3,7,9,9,0,0,6,4,4,0,5,24447158.301910475,1348487.9928468005,9.708687549581731e-05,75329742.05586098,0.0,0.0,75.7606313824626
6,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,3,7,2,0,5,0,2,4,1,2,1,8,0,1,2,1,22980172.52035899,1072143.670091318,6.682913832279599e-05,81250361.8241577,10334632.354855275,0.0011072422541299521,702.4324884143094
7,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,2,8,1,9,1,6,5,4,5,3,1,0,5,0,0,10,17767801.395336673,417399.76581161865,3.2067082133983666e-05,58176627.77592012,35818027.43609568,0.0047625147603902376,1958.905532192391
8,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,3,3,7,1,9,1,6,10,1,2,9,0,0,0,7,6,18144080.211109996,0.0,0.0,95146224.41557565,19952073.677429695,0.002129510392884855,1224.0718410374195
9,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2,2,4,9,2,6,6,0,9,10,1,0,0,1,0,4,6320800.309666242,4574405.796102554,0.0003635154253668494,59554855.274964996,43681136.55238133,0.0058507271252744375,3143.311094167742
10,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,6,6,4,7,7,3,7,5,9,6,2,4,6,0,0,34241351.122248925,0.0,0.0,40273672.383724004,0.0,0.0,0.0
11,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,2,2,9,10,0,4,6,3,6,5,10,3,1,0,0,49175325.893478766,0.0,0.0,25037214.086173728,3903004.265929234,0.0034806963174911377,0.0
