,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,2,5,1,5,6,1,7,6,9,0,3,0,0,5,0,8453407.696608048,2669747.876407707,0.00045847456398790526,36676675.840294495,0.0,0.0,90.74756014369201,0.0,466026197.8063869,0.0
1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,6,1,5,2,2,3,4,0,3,0,6,10,9,8453407.696608048,2592960.3653796106,0.00043467173385345557,202370058.20266807,0.0,0.0,176.85827063574408,3409285.0521635464,292066272.0771835,0.0011383003539892486
2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,2,0,5,6,0,8,7,5,7,0,0,4,1,1,5,9695195.36216505,960360.6907733879,0.00045165338804296386,90156019.25618789,3771486.272540891,0.0033631284865053143,0.0,0.0,382328218.2048924,0.0
3,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,3,5,2,1,0,1,3,8,5,0,0,0,0,1,4,0.0,0.0,0.0,59554855.274964996,0.0,0.0,1012.1131689970841,23853395.00439484,335642776.8728185,0.0033296292264702845
4,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,8,0,4,7,6,8,10,0,1,0,6,0,1,0,0,12586457.998778107,2915984.5372067946,0.0014855660155309658,25037214.086173728,47580427.11940703,0.042499107970652115,0.0,0.0,494193653.82630867,0.0
5,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,3,0,5,5,7,2,0,7,7,6,0,0,4,5,5,0,9695195.36216505,5409849.084472295,0.00031291915709700743,80062858.44864091,0.0,0.0,376.44004200867994,0.0,373081599.5606787,0.0
6,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,2,6,0,1,3,1,3,3,4,7,3,0,3,0,3,0,17803345.000196747,0.0,0.0,30351526.042379983,25124726.214028675,0.003367657210216292,1251.7380442992837,377037.1864084165,342281153.4830254,5.4414544747340184e-05
7,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,5,5,1,0,2,4,0,4,0,0,2,2,4,1,0,15173808.632728375,194147.95839000947,8.990094048872663e-05,62015940.60605301,0.0,0.0,0.0,14423859.06798937,289859099.7811681,0.015373465707020001
8,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,5,2,2,0,0,6,7,4,2,0,6,6,6,18081997.288140487,0.0,0.0,149816641.61135763,0.0,0.0,0.0,22625181.52612851,250388844.39434326,0.037310635468481304
9,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,2,5,7,5,6,1,7,6,3,3,2,0,0,5,0,16563094.679399516,0.0,0.0,36676675.840294495,2120693.2267112504,0.0006719719228830781,63.62655786493019,0.0,485468623.6179987,0.0
10,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,3,2,2,2,1,1,4,7,7,3,0,0,0,1,7,1,0.0,1698926.083800333,9.711123128728968e-05,103499384.37376389,0.0,0.0,810.218289414036,13114837.716610596,370828546.9984763,0.0014668867253308491
11,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,4,3,9,1,0,7,7,2,0,7,0,3,3,0,14261651.781499248,855019.0429263439,0.0004102394636416606,63921995.57957761,0.0,0.0,0.0,0.0,350964613.14170116,0.0
12,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,6,0,5,4,3,1,7,1,2,0,0,0,5,6,7332080.219521779,0.0,0.0,84317877.34823732,1425953.2848838752,0.0012521486365676647,0.0,691018.643754698,365002643.36607057,0.0012062993867454795
