,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,6320800.309666242,3384483.348473065,0.0015545350922336648,0.0,789978.3725761945,0.0006935064924191531,0.0,838670.8191000944,100836888.28458273,0.0014388624210180518
1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5092443.386663695,0.0023453371579828606,0.0,0.0,0.0,0.0,0.0,42818415.6714978,0.0
2,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340500.3680221485,38245121.951764055,0.0012373919627174917
3,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20825165.72234642,0.0,0.018866251626669217
4,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,6320800.309666242,1687002.2195851668,0.0007727560395727113,0.0,1579956.745152389,0.0013870129848383061,0.0,838670.8191000944,68141987.19042079,0.0014388624210180518
5,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,25037214.086173728,0.0,0.0,0.0,0.0,47842699.56310011,0.0
6,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,6320800.309666242,0.0,0.0,25037214.086173728,0.0,0.0,0.0,0.0,42818415.6714978,0.0
7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,25037214.086173728,789978.3725761945,0.0006935064924191531,0.0,0.0,42818415.6714978,0.0
8,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,6320800.309666242,248170.0468200542,0.0001278190775134989,0.0,1579956.745152389,0.0013870129848383061,0.0,840126.3466399824,68141987.19042079,0.0014434600742138804
9,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2369935.1177285835,0.002080519477257459,0.0,0.0,42818415.6714978,0.0
10,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6320800.309666242,3394962.2577757966,0.001563558105321907,0.0,789978.3725761945,0.0006935064924191531,0.0,0.0,42818415.6714978,0.0
11,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,12857587.774250694,0.0,0.0,0.0,1579956.745152389,0.0004993246745417901,65.38564818869348,838670.8191000944,63117703.298818484,0.0005179904715664986
12,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,8453407.696608048,3384483.348473065,0.0015545350922336648,0.0,789978.3725761945,0.0006935064924191531,0.0,446833.45600738283,87722647.49511826,0.00041246398757249726
13,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,8453407.696608048,1687002.2195851668,0.0007727560395727113,0.0,1579956.745152389,0.0013870129848383061,0.0,838670.8191000944,64986233.87030155,0.0014388624210180518
14,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,3,0,0,3,0,0,0,1,0,0,0,6320800.309666242,3384483.348473065,0.0015545350922336648,0.0,789978.3725761945,0.0006935064924191531,0.0,446833.45600738283,111920679.94647965,0.00041246398757249726
15,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,6320800.309666242,0.0,0.0,0.0,789978.3725761945,0.0006935064924191531,0.0,893666.9120147657,87722647.49511826,0.0008249279751449945
16,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,328062.4588388066,0.0001536759430895448,25037214.086173728,0.0,0.0,0.0,0.0,42818415.6714978,0.0
17,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,56425877.743436806,0.0,0.0,0.0,0.0,42818415.6714978,0.0
18,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,12857587.774250694,124085.0234100271,6.390953875674945e-05,0.0,1579956.745152389,0.0013870129848383061,0.0,840126.3466399824,68141987.19042079,0.0014434600742138804
19,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0.0,5071485.568058232,0.0008378248074502952,0.0,0.0,0.0,199.9447897658332,893666.9120147657,93427003.66768599,0.000296974071052198
20,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5081964.477360964,0.0023363141448946184,0.0,0.0,0.0,0.0,446833.45600738283,77797112.44472042,0.00041246398757249726
21,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1579956.745152389,0.0013870129848383061,0.0,446833.45600738283,77797112.44472042,0.00041246398757249726
