,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,9,4,9,1,1,0,4,0,2,1,9,5,8,10,6,281975147.78527826,0.0,88572555.36889368,0.0036486750764498583,51760044.33566119,0.0,40573843.44370987,0.0,198318122.3561129,0.0,1172300000.0,274.4891884471892
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,3,4,7,0,10,1,2,1,0,0,0,6,9,7,10,4,125788764.77143934,0.0,215008200.41735268,0.0,54432028.56110853,0.007192197720482501,38459712.17915255,0.00022253202009464316,176886880.82907864,0.0,807000000.0,1713.0481262172789
2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2,8,2,8,1,1,7,2,4,6,0,8,2,4,2,1,231811843.06031108,0.0,168082479.97080064,0.0016821889737293656,92227784.52681416,0.0009057444215692977,26113105.128108248,2.7902632949592537e-05,95551972.64492762,0.0,1359400000.0,642.3129437739012
3,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,2,2,2,9,7,0,0,0,8,9,1,10,10,4,1,119714365.97456834,0.0,189195314.94508117,0.0,52015948.752921775,0.003819724719540223,55221370.30205554,0.0,144957953.62632692,0.0,569600000.0,517.4816669631518
4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,7,10,3,3,0,5,4,8,4,6,5,8,0,9,238820458.8842178,0.0,102068530.32969381,0.0001518475756231771,110482394.19032484,0.0,39581182.89776003,0.0,117957714.22171766,0.0,508200000.0,68.18848191960234
5,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,4,1,3,5,3,0,3,6,6,0,5,10,3,10,4,5,138168009.3635082,0.0,100759376.17493644,0.0,69810785.89520885,0.0,49175325.893478766,0.0,163588475.56362754,0.0,1561600000.0,0.0
6,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,2,3,9,1,7,9,2,0,2,7,6,7,9,6,4,4,185530004.19288784,0.0,260470459.13908026,0.0,63184557.43073903,0.0011436593033112875,58116008.46683852,0.0,127811755.59329896,0.0,775400000.0,155.35546326367643
7,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,2,1,1,1,6,7,3,7,10,3,2,1,6,6,4,7,101474517.63440433,0.0,229784558.25432444,0.0,133000676.03910446,0.0,28013555.24906633,0.0,142947562.0063744,0.0,1530900000.0,0.0
8,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,3,7,0,9,6,1,6,2,2,10,3,10,4,6,204654034.25669515,0.0,186991376.56173497,0.006987512066196947,80816885.36789525,0.0,42322364.817063496,0.00029509619760020156,169345951.67604598,0.0,394500000.0,0.0
9,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,2,8,0,9,0,10,3,1,0,10,6,10,0,8,0,1,187858418.11768985,0.0,179971837.32203954,0.0018491617003506648,67155697.2117154,0.0002963749256472295,37523813.06187063,0.0,81222228.2680157,0.0,1216700000.0,615.2890206939754
10,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,7,4,5,6,3,1,2,5,9,3,7,1,3,4,6,206781014.31771147,0.0,176323444.558819,0.0,104344992.98933196,0.0,33072527.325875208,0.0,118221177.20301227,0.0,931300000.0,0.0
11,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,7,0,9,3,7,0,8,7,7,10,10,5,5,2,2,176012213.0647474,0.0,129549363.31633535,0.00021319123598091428,138708260.65367562,0.0,70583250.74890369,0.0,104190896.12482566,0.0,492600000.0,15.57391554448254
12,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,3,4,9,10,10,10,9,3,6,8,1,6,2,3,4,2,292579648.6674446,0.0,415012989.911407,0.0,109377315.24468857,0.0,28613615.978493378,0.0,102159388.73150346,0.0,1676900000.0,0.0
13,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,10,2,2,0,9,10,7,9,6,4,2,5,8,1,147239991.00478667,0.0,141619043.18857813,0.0003619414109203285,163996455.62779206,0.0,34707224.28613159,0.0,132757423.25692378,0.0,741100000.0,107.82197555207148
14,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,3,1,5,5,9,5,4,5,8,3,0,1,5,5,78453877.84187987,0.0,255617814.92873305,0.0,98999100.54095918,0.0,27169299.885837637,0.0,112804585.85050496,0.001594209057176204,1251600000.0,147.5457916407191
15,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,4,2,4,5,1,6,8,7,7,10,9,2,2,4,7,2,154456759.19007495,0.0,215343405.71874,0.0006689805312618497,148289452.57227877,0.0,38675796.47343463,0.0,123837869.82670248,0.0,1134000000.0,366.541090858415
16,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3,10,7,3,8,7,3,4,1,7,3,6,6,9,1,10,265329366.2663908,0.0,256398290.41627502,0.0,90104663.39403158,0.0,39405493.65563989,0.0,168400741.74891925,0.0,575500000.0,0.0
17,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,2,10,3,0,7,4,8,10,8,0,2,8,4,1,6,6,154287485.51802808,0.0,258443741.61962426,0.0,96389428.94538924,0.0,38127582.65654197,0.0,117639783.18549737,0.0,1060500000.0,0.0
18,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,4,1,1,3,5,7,6,5,3,10,4,4,10,4,3,4,111738176.02288951,0.0,244981143.34573078,0.0,115273778.05551913,0.0,47455781.79811731,0.0,110322169.81689276,0.0,710400000.0,0.0
19,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,4,1,2,4,4,2,10,8,6,5,2,5,2,5,2,0,124145628.13418332,0.0,224091677.09646922,0.0,124462721.51685515,0.0,28446502.757554106,0.0,69299973.72589847,0.0,1251600000.0,0.0
20,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,5,5,0,7,2,5,0,1,1,3,8,9,9,5,1,117818559.7239252,0.0,207875623.52720356,0.0,55657386.75232379,0.02492682788115069,52528070.134111315,0.0,142816723.44830626,0.0,837700000.0,0.0
21,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,3,10,7,5,7,0,4,6,6,0,0,10,1,5,0,9,286009295.66762054,0.0,140822678.00042614,0.0,69810785.89520885,0.0,31213447.94708384,0.00011623664417024791,99507174.19214153,0.0,1238200000.0,136.78763468484695
22,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,3,9,5,8,6,0,1,9,4,1,3,3,10,6,4,4,280421625.2002265,0.0,112832601.01821715,0.0,107753677.83864129,0.0,42740700.06328927,0.0,127811755.59329896,0.0,1170800000.0,0.0
23,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,3,7,0,10,0,3,10,9,4,4,0,6,2,0,6,6,188465163.0352416,0.0,163736860.486893,0.0006355196008783128,117201264.71620561,0.0,22577377.734421644,5.774571335514926e-05,89542814.51096618,0.0,1110800000.0,380.6500326631201
24,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,5,0,9,10,5,1,0,7,4,10,3,6,2,0,2,154834840.1492298,0.0,245968546.0347114,0.0,74991563.71301308,0.0019098623597701126,51694168.00042487,0.0,57073405.013273194,0.0,2069800000.0,258.7408334815759
25,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,9,9,4,8,8,2,4,0,6,8,8,8,9,4,1,288239906.3652377,0.0,260920804.81464723,0.0,62318902.73577461,0.0,64762465.663851574,0.0,137027918.2725515,0.0,837700000.0,0.0
26,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,2,1,5,5,3,4,1,7,1,2,7,8,6,6,1,5,154539421.81426284,0.0,155246504.8902788,0.0,88907672.34606405,0.0,55476770.99652879,0.0,117305091.0609757,0.0,729100000.0,0.0
27,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,5,2,9,7,2,7,8,10,9,10,4,3,10,1,4,205916260.14194593,0.0,226690981.82178843,0.0,169486223.76044023,0.0,47482018.13757801,0.0,141514060.87914574,0.0,704500000.0,0.0
