,Unnamed: 0,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
15,15,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,15,0,dikesnet
36,36,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,36,0,dikesnet
44,44,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,44,0,dikesnet
49,49,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,49,0,dikesnet
60,60,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,60,0,dikesnet
72,72,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,72,0,dikesnet
76,76,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,76,0,dikesnet
82,82,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,82,0,dikesnet
89,89,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,89,0,dikesnet
115,115,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,1,dikesnet
