,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,4,4,3,2,6,2,1,6,6,6,0,0,0,0,0,12586457.998778107,0.0,0.0,0.0,272440052.17926234,0.21749649754787967,0.0,3154967.425597601,419885938.1938051,0.0022918162162927054
1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0,1938307.987305356,0.00013057493731461148,50929971.20054293,809376709.7556796,0.09736035249333308,42910.083010982155,77847347.80916707,20299287.62732069,0.010365256516705702
2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,7,1,0,8453407.696608048,1311765.5298630502,8.704995820974099e-05,75869639.77914998,0.0,0.0,3280.1674695610745,80322344.66047311,38245121.951764055,0.012559573660408522
3,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,70740857.80294001,747195258.6382738,0.21072036720908024,24188.553763866556,77847347.80916707,0.0,0.024876615640093677
4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7332080.219521779,0.0,0.0,0.0,750300716.3103869,0.07207736486099298,55016.91784567561,115282224.06226401,0.0,0.01221491456004051
5,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1938307.987305356,0.0008704995820974096,33377116.55719709,906881744.3613514,0.730918159577406,0.0,77847347.80916707,0.0,0.06910171011137134
6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,7002203.057280278,0.0003924034138376846,0.0,1196263639.1177244,0.11646041177281996,94952.32677211205,80322344.66047311,38245121.951764055,0.010047658928326816
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,10782328.058869734,0.004677488860559324,0.0,1165911375.9800105,0.9422287739628379,0.0,115892215.42125115,24198032.45136138,0.10286387088433957
8,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,6,6320800.309666242,17698834.112725794,0.008599115543203,40273672.383724004,881333002.012624,0.7112434454204238,0.0,14378060.48970706,53358573.6002109,0.024698935255976176
9,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8453407.696608048,16500868.700144777,0.002572877460927144,30351526.042379983,957126997.2296796,0.2784935504197792,31927.880158406613,77847347.80916707,0.0,0.024876615640093677
10,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0.0,0.0,0.0,60854576.45659251,69687135.5543929,0.04587518463468254,0.0,115282224.06226401,24198032.45136138,0.10179095466700427
